Filename;newFilename;Path;Title;Text_English;Language ;Pictorial_verbopictorial;Name_of_the_creator;Longitude;Latitude;Additional_info;Mode_of_construction;Function;Channels_of_circulation
IMG00001.jpg;IMG00001_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00001.jpg"" />";Greek debtocracy;40 Years (of debtocracy);EN, GR;verbopictorial;Bleeps.gr;23.72411; 37.97911;Debtocracy seeks the causes of the debt crisis.;spraypaint / marker pen;social, aesthetic;public wall
IMG00002.jpg;IMG00002_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00002.jpg"" />";Political corruption;Areopagitou Korydallos. It's only 2 zeimpekiko turns distance!;GR;verbopictorial;Unknown;23.72729; 37.96953;Akis Tsochatzopoulos: Former Greek defence minister jailed for 20 years for corruption, released from prison May 4 2017.;stencil, marker pen;social;telephone wire box
IMG00003.jpg;IMG00003_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00003.jpg"" />";Political corruption;Aki keep going! Are submarines being effected by heavy sea?!;GR;verbopictorial;Unknown;23.71485; 37.96618;Akis Tsochatzopoulos: Former Greek defence minister jailed for 20 years for corruption, released from prison May 4 2017.;stencil, marker pen;social;public wall
IMG00004.jpg;IMG00004_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00004.jpg"" />";Powerless citizens;The power always gives you the last word!;GR;verbopictorial;Bleeps.gr;23.71645; 37.98114;;stencil, marker pen;social, political;steel door
IMG00005.jpg;IMG00005_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00005.jpg"" />";New world?;Building a brave new world?;EN;verbopictorial;Bleeps.gr;23.71619; 37.98242;;spraypaint / marker pen;social, political;public wall
IMG00006.jpg;IMG00006_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00006.jpg"" />";Two worlds and the crisis;Crisis…What else? Against cultural hegemony. Systematic artists;EN, FR;verbopictorial;Bleeps.gr;23.72899; 37.98213;;spraypaint / marker pen;social, aesthetic;public wall
IMG00007.jpg;IMG00007_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00007.jpg"" />";Charos;;;pictorial;Bleeps.gr;23.72793; 37.97652;;spraypaint / marker pen;social, political;public wall
IMG00008.jpg;IMG00008_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00008.jpg"" />";Ancient Greek ideals, antiquity;Democracy. Antifascism;EN;verbopictorial;Bleeps.gr;23.72593; 37.97809;;spraypaint / marker pen;social, political;public wall
IMG00009.jpg;IMG00009_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00009.jpg"" />";The Greek model of fiscal austerity;Greece next economic model;EN;verbopictorial;Bleeps.gr;23.71790; 37.98211;;spraypaint / marker pen;social, political;public wall
IMG00010.jpg;IMG00010_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00010.jpg"" />";Greece - Exit (GREXIT);;;pictorial;WD;23.73645; 37.98544;;stencil, marker pen;social, political;public wall
IMG00011.jpg;IMG00011_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00011.jpg"" />";The Greek health system;No health care system - & Health Kaput;GR, DE;verbopictorial;Bleeps.gr;23.72341; 37.72341;The word kaput (German) is used for things that are broken, useless, or destroyed.;spraypaint / marker pen;social, political;public wall
IMG00012.jpg;IMG00012_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00012.jpg"" />";The causes of crisis?;Hopeless;EN;verbopictorial;Bleeps.gr;23.72721; 37.97707;;spraypaint / marker pen;social, aesthetic;public wall
IMG00013.jpg;IMG00013_2013.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2013\IMG00013.jpg"" />";Carnival land;National Carnival on your TV sets;EN;verbopictorial;Bleeps.gr;23.72811; 37.97968;The verbal text further refines the picture and contextualizes the sequence.;spraypaint / marker pen;social, political;window
